geography,total_electricity
G3101390,75500032.24357736
G1300470,459958155.74284035
G2100670,2735284469.342664
G4201010,10297299678.864796
G2800510,111595301.95288768
G2001030,544261281.6022811
G1900290,88841279.11377133
G4200370,486047194.8397088
G5500790,6617111712.58061
G2100590,712761811.2922748
G4001050,79172125.8023918
G5106100,103527669.49473038
G4100570,219766626.7439134
G2100010,140269917.9495786
G1700650,56403874.65648343
G2601310,45915013.98673952
G1301050,156205088.55291572
G5500750,256264650.93024984
G4804830,31330737.616548687
G2001190,35683943.90204499
G2100310,77058461.46124026
G2400290,156639138.50426638
G2102050,136021184.58279192
G0101050,71942486.35189596
G1801270,909889471.5402181
G0800650,39265133.966391526
G1303210,128198166.05550233
G2100210,271832337.9087224
G2700670,248235891.85997555
G4500550,483619447.07526714
G5300470,369395126.95277023
G4701350,78209332.44117498
G1701530,46379793.18144199
G5400590,225197147.3232708
G3000250,13128090.68831203
G1300270,121974381.57483873
G4801010,14749545.861579413
G5000130,46214027.719343886
G0201800,3289391.6239645467
G4600430,20922725.60554828
G1301830,99453074.82166046
G3500330,17906443.03354234
G2002070,26533801.631061006
G3901330,976386095.7562232
G4803670,1069191292.7525283
G3700150,127145636.17266278
G3700250,1555329433.5107656
G3500430,666289335.1434289
G1701410,266641189.8112109
G1302910,173904600.67801514
G1301810,64302837.476589486
G4801950,42920778.87826868
G5501110,382627065.3636921
G5501250,177097081.31195983
G2200510,3706888029.5690455
G3800150,579154748.2126805
G2300070,168202417.36615625
G3701530,424827538.9259355
G3700890,897257162.028499
G1302390,24882060.929702178
G0500450,1076006628.5938554
G0400230,214317203.85220122
G3901490,394755025.595364
G2901370,72774945.37802143
G2600150,298569644.5372549
G1301350,5884409536.988043
G1901430,53673163.82133646
G3600170,240537747.5618232
G2100530,113966252.86326547
G1900430,92284925.45411825
G2800530,52822267.91121115
G2801310,101609993.98798004
G4801710,219429460.96093595
G1300290,237380740.90733495
G1700010,465136806.03055197
G2701430,78819726.61249055
G3000170,58127232.24599928
G3101730,68217253.31175047
G3800070,3310747.460049358
G3001090,8512894.749349767
G4800830,74902849.3971192
G0100010,414605991.70339084
G2701690,277348156.59187037
G1600530,146142017.26865804
G4500050,71596731.4232447
G1201150,4464723909.903193
G2600330,195151547.75986084
G1800150,104064889.25769183
G5100870,2709646780.316522
G1700870,55016648.47348693
G4900390,109301478.60023244
G3600490,163347009.35508054
G4200450,3217606546.676859
G2800450,380455866.406829
G4700210,236342021.45779663
G1301530,1134165346.9936213
G4500210,434587552.0783143
G4500310,492520083.49610215
G4701610,122493983.29394755
G3400070,3092247888.223982
G2200910,73701100.42439155
G1201250,58653090.69278004
G1701870,76097049.25796016
G2801270,201249854.66971374
G2100950,204343707.6724028
G4804070,169763580.6231089
G4803190,35150416.1473979
G5501350,270286040.6833483
G3100810,81295377.25795186
G1801110,69410496.34792462
G0101330,208062577.56765255
G2400230,247879997.32327604
G0501210,128053747.43816595
G1301650,59905027.92585294
G3100610,32091381.664621513
G3701210,103873211.40622537
G2900250,71321954.5320319
G3100410,93409703.99912164
G3800050,48256838.01665501
G5401010,73069947.29588053
G3900850,1375688833.59171
G4700010,600694181.4016193
G4805070,77689479.08434442
G1200730,2464680795.19626
G1200270,233932829.52583548
G1300770,1062277612.9582899
G4201150,279353254.6033798
G3900430,680029384.6375507
G1200310,8580689316.949459
G2400250,1626004475.0338411
G3701850,187047157.5552575
G1900490,544444156.8991852
G5105300,40224757.626433834
G4803350,50983640.26885062
G1700330,122633492.82817915
G3800530,61783374.5370073
G3101370,61572193.42871672
G2001990,7874538.488177652
G5500050,259058997.72566003
G5600350,43601328.356960624
G1800910,637837151.3698883
G5101590,60258564.74275974
G1701310,96980522.03258385
G4100170,1244910883.0157115
G3800010,20522606.1651812
G5101190,87735004.54543237
G2102270,1023361407.0248387
G5300730,1142516679.752468
G2200670,199740186.70359603
G0801230,1208826245.4646754
G2900390,96851789.1343058
G4500910,1867403405.3451297
G4200170,4042790113.9637027
G4803050,29283311.830923926
G0500630,269943672.3024984
G2901630,109041888.24604076
G3600730,209023357.92215845
